17.375348	0		0				1E-05		9E-06				3E-06		3E-06
17.531883	0		0				1E-05		9E-06				3E-06		2E-06
17.688417	0		0				9E-06		9E-06				2E-06		2E-06
17.844952	0		0				9E-06		8E-06				2E-06		2E-06
18.001487	0		0				9E-06		8E-06				2E-06		2E-06
18.158021	0		0				8E-06		8E-06				2E-06		2E-06
18.314556	0		0				8E-06		8E-06				2E-06		2E-06
18.471091	0		0				8E-06		7E-06				2E-06		2E-06
18.627625	0		0				8E-06		7E-06				2E-06		2E-06
18.78416	0		0				7E-06		7E-06				2E-06		2E-06
18.940695	0		0				7E-06		7E-06				2E-06		2E-06
19.097229	0		0				7E-06		6E-06				2E-06		2E-06
19.253764	0		0				7E-06		6E-06				2E-06		2E-06
19.410299	0		0				6E-06		6E-06				2E-06		2E-06
19.566833	0		0				6E-06		6E-06				2E-06		2E-06
19.723368	0		0				6E-06		6E-06				2E-06		2E-06
19.879903	0		0				6E-06		6E-06				2E-06		2E-06
20.036437	0		0				6E-06		5E-06				2E-06		2E-06
20.192972	0		0				6E-06		5E-06				2E-06		1E-06
20.349507	0		0				5E-06		5E-06				1E-06		1E-06
20.506041	0		0				5E-06		5E-06				1E-06		1E-06
20.662576	0		0				5E-06		5E-06				1E-06		1E-06
20.819111	0		0				5E-06		5E-06				1E-06		1E-06
20.975645	0		0				5E-06		5E-06				1E-06		1E-06
21.13218	0		0				5E-06		4E-06				1E-06		1E-06
21.288715	0		0				5E-06		4E-06				1E-06		1E-06
21.445249	0		0				4E-06		4E-06				1E-06		1E-06
21.601784	0		0				4E-06		4E-06				1E-06		1E-06
21.758319	0		0				4E-06		4E-06				1E-06		1E-06
21.914854	0		0				4E-06		4E-06				1E-06		1E-06
22.071388	0		0				4E-06		4E-06				1E-06		1E-06
22.227923	0		0				4E-06		4E-06				1E-06		1E-06
22.384458	0		0				4E-06		4E-06				1E-06		1E-06
22.540992	0		0				4E-06		4E-06				1E-06		1E-06
22.697527	0		0				4E-06		3E-06				1E-06		1E-06
22.854062	0		0				4E-06		3E-06				1E-06		1E-06
23.010596	0		0				3E-06		3E-06				1E-06		1E-06
23.167131	0		0				3E-06		3E-06				1E-06		1E-06
23.323666	0		0				3E-06		3E-06				1E-06		1E-06
23.4802	0		0				3E-06		3E-06				1E-06		1E-06
23.636735	0		0				3E-06		3E-06				1E-06		1E-06
23.79327	0		0				3E-06		3E-06				1E-06		1E-06
23.949804	0		0				3E-06		3E-06				1E-06		1E-06
24.106339	0		0				3E-06		3E-06				1E-06		1E-06
24.262874	0		0				3E-06		3E-06				1E-06		1E-06
24.419408	0		0				3E-06		3E-06				1E-06		1E-06
24.575943	0		0				3E-06		3E-06				1E-06		1E-06
