# energy, eels_NLFC_w, eels_LFC_w
2.801238, 0.154676, 0.192503
2.813699, 0.154886, 0.193080
2.826172, 0.155089, 0.193639
2.838656, 0.155288, 0.194183
2.851151, 0.155485, 0.194717
2.863659, 0.155683, 0.195246
2.876177, 0.155883, 0.195774
2.888708, 0.156088, 0.196304
2.901250, 0.156297, 0.196840
2.913804, 0.156511, 0.197381
2.926369, 0.156728, 0.197927
2.938946, 0.156947, 0.198479
2.951535, 0.157166, 0.199033
2.964135, 0.157383, 0.199589
2.976747, 0.157595, 0.200143
2.989371, 0.157800, 0.200692
3.002007, 0.157994, 0.201234
3.014654, 0.158174, 0.201763
3.027314, 0.158338, 0.202276
3.039985, 0.158483, 0.202768
3.052668, 0.158608, 0.203234
3.065362, 0.158711, 0.203670
3.078069, 0.158793, 0.204074
3.090787, 0.158858, 0.204445
3.103518, 0.158911, 0.204787
3.116260, 0.158959, 0.205104
3.129014, 0.159010, 0.205404
3.141780, 0.159074, 0.205700
3.154558, 0.159161, 0.206002
3.167348, 0.159279, 0.206325
3.180150, 0.159438, 0.206681
3.192965, 0.159645, 0.207085
3.205791, 0.159905, 0.207548
3.218629, 0.160222, 0.208081
3.231479, 0.160599, 0.208693
3.244341, 0.161034, 0.209390
3.257215, 0.161526, 0.210176
3.270102, 0.162070, 0.211052
3.283001, 0.162657, 0.212015
3.295911, 0.163279, 0.213060
3.308834, 0.163925, 0.214178
3.321769, 0.164581, 0.215360
3.334716, 0.165236, 0.216594
3.347676, 0.165876, 0.217868
3.360648, 0.166491, 0.219169
3.373632, 0.167072, 0.220489
3.386628, 0.167612, 0.221820
3.399636, 0.168108, 0.223157
3.412657, 0.168560, 0.224499
3.425690, 0.168971, 0.225848
3.438736, 0.169343, 0.227208
3.451793, 0.169681, 0.228584
3.464864, 0.169989, 0.229980
3.477946, 0.170270, 0.231400
3.491041, 0.170525, 0.232846
3.504149, 0.170753, 0.234319
3.517268, 0.170952, 0.235816
3.530401, 0.171120, 0.237333
3.543545, 0.171253, 0.238868
3.556703, 0.171349, 0.240415
3.569872, 0.171404, 0.241970
3.583055, 0.171416, 0.243529
3.596250, 0.171384, 0.245088
3.609457, 0.171304, 0.246644
3.622677, 0.171174, 0.248190
3.635910, 0.170992, 0.249722
3.649155, 0.170754, 0.251231
3.662413, 0.170459, 0.252711
3.675683, 0.170106, 0.254153
3.688966, 0.169695, 0.255552
3.702262, 0.169229, 0.256903
3.715571, 0.168713, 0.258205
3.728892, 0.168152, 0.259459
3.742226, 0.167553, 0.260669
3.755573, 0.166922, 0.261838
3.768933, 0.166263, 0.262969
3.782305, 0.165578, 0.264063
3.795690, 0.164868, 0.265116
3.809088, 0.164129, 0.266121
3.822499, 0.163358, 0.267064
3.835923, 0.162548, 0.267930
3.849360, 0.161695, 0.268703
3.862809, 0.160793, 0.269364
3.876272, 0.159841, 0.269896
3.889747, 0.158838, 0.270287
3.903236, 0.157787, 0.270527
3.916737, 0.156693, 0.270614
3.930252, 0.155567, 0.270549
3.943779, 0.154418, 0.270341
3.957320, 0.153256, 0.270001
3.970873, 0.152093, 0.269544
3.984440, 0.150935, 0.268984
3.998020, 0.149788, 0.268332
4.011613, 0.148654, 0.267596
4.025219, 0.147533, 0.266779
4.038838, 0.146423, 0.265878
4.052470, 0.145320, 0.264888
4.066116, 0.144223, 0.263802
4.079774, 0.143130, 0.262610
4.093446, 0.142039, 0.261304
4.107132, 0.140951, 0.259878
4.120830, 0.139868, 0.258328
4.134542, 0.138791, 0.256651
4.148267, 0.137723, 0.254849
4.162005, 0.136668, 0.252930
4.175757, 0.135629, 0.250902
4.189522, 0.134609, 0.248778
4.203301, 0.133608, 0.246570
4.217093, 0.132628, 0.244290
4.230898, 0.131666, 0.241949
4.244717, 0.130721, 0.239553
4.258550, 0.129787, 0.237107
4.272395, 0.128859, 0.234611
4.286255, 0.127933, 0.232064
4.300127, 0.127004, 0.229464
4.314014, 0.126070, 0.226809
4.327914, 0.125129, 0.224096
4.341827, 0.124183, 0.221325
4.355754, 0.123235, 0.218497
4.369695, 0.122292, 0.215616
4.383650, 0.121361, 0.212690
4.397618, 0.120452, 0.209729
4.411599, 0.119575, 0.206749
4.425595, 0.118738, 0.203768
4.439604, 0.117948, 0.200802
4.453627, 0.117212, 0.197872
4.467664, 0.116530, 0.194993
4.481714, 0.115902, 0.192180
4.495779, 0.115325, 0.189442
4.509857, 0.114794, 0.186786
4.523949, 0.114302, 0.184212
4.538054, 0.113841, 0.181719
4.552174, 0.113405, 0.179301
4.566308, 0.112985, 0.176952
4.580455, 0.112574, 0.174661
4.594617, 0.112164, 0.172421
4.608792, 0.111750, 0.170221
4.622982, 0.111324, 0.168053
4.637185, 0.110881, 0.165911
4.651403, 0.110416, 0.163789
4.665635, 0.109923, 0.161682
4.679880, 0.109398, 0.159585
4.694140, 0.108835, 0.157495
4.708414, 0.108229, 0.155408
4.722702, 0.107576, 0.153319
4.737004, 0.106870, 0.151225
4.751320, 0.106108, 0.149122
4.765651, 0.105285, 0.147007
4.779996, 0.104401, 0.144879
4.794355, 0.103456, 0.142736
4.808728, 0.102451, 0.140581
4.823116, 0.101390, 0.138416
4.837517, 0.100280, 0.136245
4.851934, 0.099127, 0.134074
4.866364, 0.097941, 0.131910
4.880809, 0.096731, 0.129762
4.895268, 0.095509, 0.127640
4.909742, 0.094286, 0.125555
4.924230, 0.093075, 0.123518
4.938733, 0.091889, 0.121544
4.953250, 0.090740, 0.119645
4.967782, 0.089639, 0.117833
4.982328, 0.088596, 0.116119
4.996889, 0.087621, 0.114515
5.011464, 0.086720, 0.113027
5.026054, 0.085899, 0.111661
5.040658, 0.085159, 0.110420
5.055277, 0.084503, 0.109302
5.069911, 0.083928, 0.108307
5.084559, 0.083434, 0.107430
5.099222, 0.083017, 0.106667
5.113900, 0.082675, 0.106010
5.128593, 0.082403, 0.105453
5.143300, 0.082198, 0.104990
5.158022, 0.082059, 0.104614
5.172759, 0.081982, 0.104318
5.187511, 0.081965, 0.104098
5.202277, 0.082009, 0.103948
5.217059, 0.082115, 0.103866
5.231855, 0.082282, 0.103852
5.246667, 0.082515, 0.103907
5.261493, 0.082817, 0.104034
5.276334, 0.083192, 0.104236
5.291190, 0.083641, 0.104518
5.306062, 0.084167, 0.104883
5.320948, 0.084770, 0.105332
5.335849, 0.085446, 0.105865
5.350766, 0.086190, 0.106478
5.365697, 0.086993, 0.107165
5.380644, 0.087844, 0.107915
5.395605, 0.088730, 0.108718
5.410582, 0.089637, 0.109561
5.425575, 0.090549, 0.110429
5.440582, 0.091452, 0.111308
5.455604, 0.092334, 0.112185
5.470642, 0.093184, 0.113049
5.485696, 0.093997, 0.113891
5.500764, 0.094769, 0.114708
5.515848, 0.095505, 0.115501
5.530947, 0.096212, 0.116275
5.546062, 0.096901, 0.117042
5.561191, 0.097587, 0.117817
5.576337, 0.098284, 0.118616
5.591498, 0.099005, 0.119455
5.606674, 0.099760, 0.120347
5.621866, 0.100554, 0.121299
5.637073, 0.101389, 0.122314
5.652296, 0.102260, 0.123390
5.667534, 0.103160, 0.124521
5.682789, 0.104082, 0.125694
5.698058, 0.105015, 0.126901
5.713343, 0.105953, 0.128130
5.728644, 0.106891, 0.129373
5.743961, 0.107826, 0.130625
5.759294, 0.108762, 0.131886
5.774642, 0.109699, 0.133156
5.790006, 0.110644, 0.134439
5.805385, 0.111598, 0.135740
5.820781, 0.112563, 0.137061
5.836192, 0.113540, 0.138405
5.851619, 0.114526, 0.139768
5.867062, 0.115514, 0.141149
